period,team,shooter_number,opponent,goalie_number,x,y,team1,team2,game_url,shot_chart_url
3,SVK,9,SUI,29,0.4597334974713868,1.6749240402963688,SUI,SVK,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22716/1-sui-vs-svk,https://www.iihf.com//pdf/503/ihm503a01_77a_3_0
1,FIN,15,GER,1,0.6834734247898975,3.287067746744622,GER,FIN,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22717/2-ger-vs-fin,https://www.iihf.com//pdf/503/ihm503a02_77a_3_0
1,FIN,34,GER,1,3.1819197283405254,0.4849209687310369,GER,FIN,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22717/2-ger-vs-fin,https://www.iihf.com//pdf/503/ihm503a02_77a_3_0
2,GER,19,FIN,1,0.7580537136048426,2.7880710890786053,GER,FIN,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22717/2-ger-vs-fin,https://www.iihf.com//pdf/503/ihm503a02_77a_3_0
2,GER,8,FIN,1,0.7953439879780008,2.365842160070293,GER,FIN,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22717/2-ger-vs-fin,https://www.iihf.com//pdf/503/ihm503a02_77a_3_0
2,FIN,21,GER,1,4.375207945169018,3.1720889961974663,GER,FIN,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22717/2-ger-vs-fin,https://www.iihf.com//pdf/503/ihm503a02_77a_3_0
2,FIN,7,GER,1,5.009141269630024,1.3647879817247213,GER,FIN,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22717/2-ger-vs-fin,https://www.iihf.com//pdf/503/ihm503a02_77a_3_0
2,FIN,28,GER,1,2.771726111258983,0.600161926074807,GER,FIN,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22717/2-ger-vs-fin,https://www.iihf.com//pdf/503/ihm503a02_77a_3_0
3,GER,7,FIN,1,4.971852541921746,3.6678498079469,GER,FIN,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22717/2-ger-vs-fin,https://www.iihf.com//pdf/503/ihm503a02_77a_3_0
1,RUS,13,USA,30,4.748109692424942,3.286979987735143,RUS,USA,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22718/3-rus-vs-usa,https://www.iihf.com//pdf/503/ihm503b03_77a_3_0
1,USA,4,RUS,1,3.0700484096353478,1.1749021005439988,RUS,USA,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22718/3-rus-vs-usa,https://www.iihf.com//pdf/503/ihm503b03_77a_3_0
2,RUS,11,USA,30,2.659855769230769,0.5619525095330902,RUS,USA,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22718/3-rus-vs-usa,https://www.iihf.com//pdf/503/ihm503b03_77a_3_0
2,RUS,13,USA,30,5.158304498269896,2.7879833300691264,RUS,USA,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22718/3-rus-vs-usa,https://www.iihf.com//pdf/503/ihm503b03_77a_3_0
2,RUS,24,USA,30,0.5716038394996008,1.6750990231994152,RUS,USA,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22718/3-rus-vs-usa,https://www.iihf.com//pdf/503/ihm503b03_77a_3_0
3,RUS,21,USA,-1,4.375207468556102,1.790251686417795,RUS,USA,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22718/3-rus-vs-usa,https://www.iihf.com//pdf/503/ihm503b03_77a_3_0
3,USA,25,RUS,1,4.934563814213468,2.365842160070293,RUS,USA,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22718/3-rus-vs-usa,https://www.iihf.com//pdf/503/ihm503b03_77a_3_0
3,USA,9,RUS,1,4.859982199893532,3.4789892088525294,RUS,USA,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22718/3-rus-vs-usa,https://www.iihf.com//pdf/503/ihm503b03_77a_3_0
1,SWE,14,CZE,30,0.1241195691238961,1.63671408863874,SWE,CZE,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22719/4-swe-vs-cze,https://www.iihf.com//pdf/503/ihm503b04_77a_3_0
1,CZE,19,SWE,30,5.121015770561618,0.9840053854065328,SWE,CZE,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22719/4-swe-vs-cze,https://www.iihf.com//pdf/503/ihm503b04_77a_3_0
2,SWE,29,CZE,30,5.344756454618047,0.600161926074807,SWE,CZE,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22719/4-swe-vs-cze,https://www.iihf.com//pdf/503/ihm503b04_77a_3_0
2,SWE,13,CZE,30,2.809018997870641,0.9071488275075263,SWE,CZE,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22719/4-swe-vs-cze,https://www.iihf.com//pdf/503/ihm503b04_77a_3_0
2,SWE,16,CZE,30,4.412500831780676,0.2930867305166971,SWE,CZE,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22719/4-swe-vs-cze,https://www.iihf.com//pdf/503/ihm503b04_77a_3_0
3,SWE,25,CZE,30,0.2359903922433706,3.555758007742057,SWE,CZE,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22719/4-swe-vs-cze,https://www.iihf.com//pdf/503/ihm503b04_77a_3_0
3,SWE,21,CZE,30,2.809017504471686,0.4467987760828871,SWE,CZE,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22719/4-swe-vs-cze,https://www.iihf.com//pdf/503/ihm503b04_77a_3_0
3,SWE,28,CZE,30,5.419334111279046,3.747679469849964,SWE,CZE,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22719/4-swe-vs-cze,https://www.iihf.com//pdf/503/ihm503b04_77a_3_0
1,CAN,21,GER,1,0.08682942471642355,1.3296394281965416,GER,CAN,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22720/5-ger-vs-can,https://www.iihf.com//pdf/503/ihm503a05_77a_3_0
1,CAN,20,GER,1,0.27328066661652883,0.21631793162716972,GER,CAN,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22720/5-ger-vs-can,https://www.iihf.com//pdf/503/ihm503a05_77a_3_0
1,CAN,26,GER,1,5.680366031891154,0.2930867305166971,GER,CAN,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22720/5-ger-vs-can,https://www.iihf.com//pdf/503/ihm503a05_77a_3_0
1,CAN,18,GER,1,2.883598053218002,0.3314711299614608,GER,CAN,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22720/5-ger-vs-can,https://www.iihf.com//pdf/503/ihm503a05_77a_3_0
1,GER,24,CAN,1,4.971852541921746,3.1720889961974663,GER,CAN,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22720/5-ger-vs-can,https://www.iihf.com//pdf/503/ihm503a05_77a_3_0
2,CAN,20,GER,30,2.361533470854405,2.289073896296677,GER,CAN,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22720/5-ger-vs-can,https://www.iihf.com//pdf/503/ihm503a05_77a_3_0
2,CAN,16,GER,30,0.7953445235560287,3.6709106709604367,GER,CAN,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22720/5-ger-vs-can,https://www.iihf.com//pdf/503/ihm503a05_77a_3_0
2,CAN,15,GER,30,0.8699261378759648,3.402220409963002,GER,CAN,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22720/5-ger-vs-can,https://www.iihf.com//pdf/503/ihm503a05_77a_3_0
