jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url
25,DOVZAN Nusa,SLO,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/statistics/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
8,KIM Selin,KOR,False,D,0,0,0,0,6,2.0,0:00,0.0,0:00,5,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/statistics/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
9,KANG Nara,KOR,False,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/statistics/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
10,CHOI Jiyeon,KOR,False,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/statistics/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
12,KIM Heewon,KOR,False,F,0,0,0,0,4,0.0,0:00,0.0,0:00,1,0:00,3,0:00,0,0:00,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/statistics/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
15,PARK Chaelin,KOR,False,D,0,0,0,0,5,1.0,0:00,0.0,0:00,3,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/statistics/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
5,KANG Sihyun,KOR,False,F,1,1,2,4,3,2.0,0:00,0.0,0:00,0,0:00,0,0:00,3,0:00,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/statistics/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
7,PARK Ye Eun,KOR,False,D,0,0,0,0,4,0.0,0:00,0.0,0:00,2,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/statistics/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
13,LEE Eunji,KOR,False,F,1,1,2,0,4,3.0,0:00,0.0,0:00,0,0:00,3,0:00,1,0:00,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/statistics/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
17,PARK Jongah,KOR,False,F,0,1,1,4,6,3.0,0:00,0.0,0:00,3,0:00,1,0:00,2,0:00,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/statistics/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
