jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,ts_4,tot_4,ts_5,tot_5,statistics_url,game_url
22,SELMANOVIC Hamza,BIH,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
1,CAPIN Amel,BIH,True,GK,0,0,0,0,0,,,,,0,,0,,0,,0.0,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
20,PASOVIC Dino,BIH,True,GK,0,0,0,0,0,,,,,0,,0,,0,,0.0,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
5,KITAYAMA Masato,THA,False,F,0,0,0,2,6,-2.0,0:00,0.0,0:00,2,0:00,1,0:00,3,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
11,FORSTER Patrick,THA,False,D,0,0,0,0,2,-1.0,0:00,0.0,0:00,2,0:00,0,0:00,0,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
13,TENGSAKUL Jantaphong,THA,False,F,0,0,0,0,2,-2.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
15,NAGAYAMA Hideki,THA,False,D,1,2,3,0,3,1.0,0:00,0.0,0:00,2,0:00,0,0:00,1,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
18,KHUHAKAEW Phandaj,THA,False,F,0,0,0,2,1,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
2,SUPADILOKLUK Chanchit,THA,False,D,0,0,0,0,3,1.0,0:00,0.0,0:00,1,0:00,2,0:00,0,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
4,THANAKROEKKIAT Papan,THA,False,D,1,0,1,2,12,2.0,0:00,0.0,0:00,4,0:00,5,0:00,3,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
