jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url,ts_4,tot_4,ts_5,tot_5
20,BYWATER Alistair,RSA,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
9,HASOVIC Ermin,BIH,False,D,0,0,0,2,2,-2.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
11,MRKVA Haris,BIH,False,F,1,0,1,0,2,-1.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
13,MLIVIC Adnan,BIH,False,F,0,1,1,0,3,0.0,0:00,0.0,0:00,2,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
19,VIDEN Emir,BIH,False,D,0,0,0,0,1,-2.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
22,MRKVA Tarik,BIH,False,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
5,OMER Mirza,BIH,False,F,1,1,2,0,5,0.0,0:00,0.0,0:00,2,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
17,CORDALIJA Dino,BIH,False,F,0,0,0,0,1,0.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
18,CATOVIC Tarik,BIH,False,F,0,0,0,2,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
23,LONDON Anthony,BIH,False,D,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
24,DINALIC Muhamed,BIH,False,D,0,0,0,0,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
3,GAKOVIC Nikko,BIH,False,F,1,0,1,0,2,-6.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
