jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,ts_4,tot_4,statistics_url,game_url
20,ZHANG Zhaohan,CHN,True,GK,0,0,0,0,0,,,,,0,,0,,0,,0.0,,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
25,HAN Yiyang,CHN,True,GK,0,0,0,2,0,,,,,0,,0,,0,,0.0,,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
4,TAYLOR Jessie,GBR,False,D,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
5,HARRIS Emily,GBR,False,F,2,0,2,2,6,-1.0,0:00,0.0,0:00,1,0:00,3,0:00,0,0:00,2.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
11,WAKELING Ellie,GBR,False,D,0,0,0,0,2,0.0,0:00,0.0,0:00,0,0:00,2,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
13,HEADLAND Chloe,GBR,False,F,0,2,2,0,2,-2.0,0:00,0.0,0:00,1,0:00,0,0:00,1,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
14,GARBETT Grace,GBR,False,F,0,0,0,0,2,0.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,1.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
8,BEAL Lucy,GBR,False,D,0,0,0,0,2,-1.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
12,PORTER Elouise,GBR,False,D,0,0,0,2,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
18,JONES Alice,GBR,False,F,0,0,0,0,1,0.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
