jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url
25,LIAO Yu-Cheng,TPE,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
5,CHARTSUWAN Tewin,THA,False,D,0,0,0,0,1,0.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
14,SUWACHIRAT Phanuruj,THA,False,F,0,0,0,0,3,-2.0,0:00,0.0,0:00,2,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
55,KINDBORN Ken Edvin,THA,False,D,0,3,3,0,10,-3.0,0:00,0.0,0:00,4,0:00,2,0:00,4,0:00,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
72,LUCKANATINAKORN Nathaphat,THA,False,F,0,0,0,0,6,-2.0,0:00,0.0,0:00,3,0:00,3,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
89,FORSTNER Patrick,THA,False,F,1,0,1,2,3,0.0,0:00,0.0,0:00,0,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
26,TENGSAKUL Jantaphong,THA,False,F,0,0,0,2,2,-2.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
56,THANAKROEKKIAT Papan,THA,False,D,1,1,2,2,4,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,4,0:00,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
83,KITAYAMA Masato,THA,False,F,0,0,0,0,4,-2.0,0:00,0.0,0:00,2,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
96,NAGAYAMA Hideki,THA,False,D,1,1,2,0,6,-4.0,0:00,0.0,0:00,3,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
