jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,ts_4,tot_4,statistics_url,game_url,ts_5,tot_5
1,BAE Sangwon,KOR,True,GK,0,0,0,0,0,,,,,0,,0,,0,,0.0,,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
20,KIM Tae Kyung,KOR,True,GK,0,0,0,0,0,,,,,0,,0,,0,,0.0,,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
5,SZABO Zsolt,ROU,False,D,0,0,0,0,4,0.0,0:00,0.0,0:00,1,0:00,2,0:00,1,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
12,RESZEGH Zsolt,ROU,False,F,0,0,0,0,2,0.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
13,MARK Robert,ROU,False,D,0,0,0,0,1,0.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
18,BUZAS Arnold,ROU,False,F,0,0,0,0,2,0.0,0:00,0.0,0:00,2,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
23,VIZI Adam,ROU,False,F,0,0,0,2,2,0.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,1.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
8,ILYES Tamas,ROU,False,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
9,CASANEANU Eduard,ROU,False,D,0,1,1,0,3,2.0,0:00,0.0,0:00,0,0:00,1,0:00,2,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
10,VASILE Andrei,ROU,False,F,0,0,0,0,4,1.0,0:00,0.0,0:00,0,0:00,2,0:00,2,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
14,GAJDO Tamas,ROU,False,D,0,0,0,0,2,0.0,0:00,0.0,0:00,2,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
22,FILIP Andrei,ROU,False,F,1,1,2,0,4,2.0,0:00,0.0,0:00,2,0:00,0,0:00,1,0:00,1.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
2,BOLDIZSAR Cristian,ROU,False,D,0,0,0,0,1,-1.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
6,KARDA Elod Marton,ROU,False,D,1,0,1,0,2,0.0,0:00,0.0,0:00,0,0:00,2,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
