jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url,ts_4,tot_4,ts_5,tot_5
23,STEFANSDOTTIR Fridrika,ISL,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
1,BACHMANN Andrea,ISL,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
20,ARSAELSDOTTIR Alexia,ISL,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
5,MAHONEY Courtney,AUS,False,F,1,0,1,0,11,2.0,0:00,0.0,0:00,3,0:00,2,0:00,6,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
11,NOVATSIS Charlize,AUS,False,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
16,LUKOWIAK Molly,AUS,False,F,1,1,2,2,6,2.0,0:00,0.0,0:00,0,0:00,2,0:00,4,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
17,ARPS Gabrielle,AUS,False,D,1,0,1,0,2,0.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
18,DUBE Natasha,AUS,False,F,0,0,0,0,3,2.0,0:00,0.0,0:00,1,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
2,BRUNT Ebony,AUS,False,F,0,0,0,2,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
6,PAYNE Samantha,AUS,False,D,0,1,1,2,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
